Influential 2-amod
assigned 0-ROOT
a 5-det
mark 3-dobj
of 5-prep
80 6-pobj
out 3-prep
of 8-prep
a 12-det
possible 12-amod
100 9-pobj
, 3-punct
compared 3-prep
with 14-prep
scores 15-pobj
ranging 16-acl
as 19-advmod
low 17-advmod
as 19-prep
69 20-pobj
for 19-prep
the 25-det
other 25-amod
components 22-pobj
. 3-punct

 26-dep

The 3-det
stock 3-compound
market 5-nsubj
has 5-aux
lost 0-ROOT
some 8-det
precursory 8-amod
power 5-dobj
, 5-punct
analysts 5-dobj
at 10-prep
the 15-det
Columbia 14-compound
center 15-compound
claim 11-pobj
, 10-punct
because 10-prep
of 17-pcomp
the 21-det
growing 21-amod
impact 17-pobj
of 21-prep
international 24-amod
developments 22-pobj
. 5-punct

 25-dep

` 5-punct
` 5-punct
Stocks 5-nsubj
have 5-aux
become 21-ccomp
more 7-advmod
sensitive 5-acomp
to 7-prep
factors 8-pobj
not 12-neg
directly 12-advmod
tied 9-acl
to 12-prep
the 16-det
domestic 16-amod
economy 13-pobj
, 21-punct
'' 21-punct
Mr. 20-compound
Moore 21-nsubj
says 0-ROOT
, 21-punct
citing 21-advcl
the 26-det
exchange 26-compound
rate 23-dobj
for 26-prep
the 29-det
dollar 27-pobj
on 26-prep
currency 32-compound
markets 30-pobj
, 23-punct
the 38-det
foreign 37-amod
- 37-punct
trade 38-compound
balance 23-dobj
and 38-cc
inflows 38-conj
of 38-prep
foreign 43-amod
capital 41-pobj
. 21-punct

 44-dep

He 3-nsubj
also 3-advmod
feels 38-ccomp
that 17-mark
the 6-det
rise 17-nsubj
of 6-prep
such 12-amod
computer 11-npadvmod
- 11-punct
based 12-amod
practices 7-pobj
as 6-prep
program 15-compound
trading 13-pobj
has 17-aux
diminished 3-ccomp
the 20-det
stock 20-compound
market 22-poss
's 20-case
relevancy 17-dobj
to 17-prep
the 26-det
economic 26-amod
outlook 23-pobj
. 3-punct

 27-dep
BSN 30-compound
S.A. 38-nsubj
, 30-punct
a 36-det
leading 36-amod
French 36-amod
food 36-compound
group 30-appos
, 30-punct
said 0-ROOT
it 40-nsubj
agreed 38-ccomp
to 42-aux
acquire 40-xcomp
Birkel 46-nmod
G.m.b 46-nmod
. 46-punct
H. 52-nmod
, 52-punct
a 52-det
West 50-amod
German 52-amod
pasta 52-compound
maker 42-dobj
. 38-punct

 53-dep

The 2-det
value 8-nsubjpass
of 2-prep
the 5-det
acquisition 3-pobj
was 8-auxpass
n't 8-neg
disclosed 0-ROOT
. 8-punct

 9-dep

The 2-det
move 3-nsubj
is 0-ROOT
in 3-prep
line 4-pobj
with 5-prep
BSN 9-poss
's 7-case
strategy 6-pobj
of 9-prep
gradually 12-advmod
building 10-pcomp
its 14-poss
share 12-dobj
of 14-prep
the 19-det
European 19-amod
pasta 19-compound
market 15-pobj
through 12-prep
external 22-amod
growth 20-pobj
. 3-punct

 23-dep

BSN 4-nsubj
will 4-aux
initially 4-advmod
acquire 0-ROOT
a 8-det
15 7-nummod
% 8-compound
interest 4-dobj
in 8-prep
Birkel 9-pobj
, 10-punct
a 15-det
closely 14-advmod
held 15-amod
concern 10-appos
. 4-punct

 16-dep

The 3-det
French 3-amod
group 4-nsubj
has 31-ccomp
an 6-det
agreement 4-dobj
giving 6-acl
it 7-dative
the 10-det
right 7-dobj
to 12-aux
buy 10-acl
all 15-predet
the 15-det
shares 12-dobj
outstanding 15-amod
, 4-punct
and 4-cc
this 22-nsubjpass
could 22-aux
be 22-auxpass
completed 4-conj
within 22-prep
a 26-det
few 26-amod
months 23-pobj
, 31-punct
a 30-det
BSN 30-compound
spokeswoman 31-nsubj
said 0-ROOT
. 31-punct

 32-dep

The 2-det
takeover 4-nsubjpass
was 4-auxpass
submitted 15-ccomp
for 4-prep
approval 5-pobj
by 6-prep
the 12-det
West 10-amod
German 12-amod
cartel 12-compound
office 7-pobj
, 15-punct
BSN 15-nsubj
said 0-ROOT
. 15-punct

 16-dep

Birkel 2-nsubj
is 0-ROOT
West 4-compound
Germany 9-poss
's 4-case
second 8-advmod
- 8-punct
biggest 9-amod
producer 2-attr
of 9-prep
pasta 10-pobj
, 9-punct
with 9-prep
sales 13-pobj
of 14-prep
250 17-compound
million 18-nummod
marks 15-pobj
-LRB- 14-punct
$ 22-quantmod
133.4 22-compound
million 23-nummod
-RRB- 14-appos
in 14-prep
1988 24-pobj
. 2-punct

 26-dep

It 2-nsubj
has 0-ROOT
750 4-nummod
workers 2-dobj
at 2-prep
three 8-nummod
production 8-compound
units 5-pobj
in 8-prep
southwest 11-amod
Germany 9-pobj
, 2-punct
and 2-cc
is 2-conj
that 19-det
nation 19-poss
's 16-case
leading 19-amod
producer 14-attr
of 19-prep
pasta 22-compound
sauces 20-pobj
. 2-punct

 23-dep

The 2-det
acquisition 3-nsubj
strengthens 0-ROOT
BSN 6-poss
's 4-case
position 3-dobj
in 6-prep
the 11-det
European 11-amod
pasta 11-compound
market 7-pobj
. 3-punct

 12-dep

The 3-det
French 3-amod
group 5-nsubj
currently 5-advmod
ranks 0-ROOT
second 5-advmod
after 5-prep
Barilla 9-compound
Group 7-pobj
of 9-prep
Italy 10-pobj
, 9-punct
whose 14-poss
sales 15-nsubj
are 9-relcl
chiefly 15-advmod
in 15-prep
the 20-det
Italian 20-amod
market 17-pobj
. 5-punct

 21-dep

Moody 5-poss
's 1-case
Investors 5-compound
Service 5-compound
Inc. 6-nsubj
said 0-ROOT
it 8-nsubj
reduced 6-ccomp
its 10-poss
rating 8-dobj
on 8-prep
$ 14-quantmod
281 14-compound
million 11-pobj
of 14-prep
senior 19-amod
and 16-cc
subordinated 16-conj
debt 15-pobj
of 19-prep
this 24-det
thrift 23-npadvmod
holding 24-amod
company 20-pobj
, 8-punct
to 8-prep
C 26-pobj
from 8-prep
Ca 28-pobj
, 8-punct
saying 8-advcl
it 33-nsubj
believes 31-ccomp
bondholders 36-nsubj
will 36-aux
recover 33-ccomp
only 41-advmod
` 41-punct
` 41-punct
negligible 41-amod
principal 36-dobj
. 6-punct
'' 6-punct

 43-dep

The 2-det
agency 3-nsubj
said 0-ROOT
it 5-nsubj
confirmed 3-ccomp
American 7-compound
Continental 11-poss
's 7-case
preferred 11-amod
stock 11-compound
rating 5-dobj
at 11-prep
C 12-pobj
. 3-punct

 14-dep

American 2-compound
Continental 5-poss
's 2-case
thrift 5-compound
unit 17-nsubj
, 5-punct
Los 8-compound
Angeles 10-npadvmod
- 10-punct
based 15-amod
Lincoln 15-compound
Savings 15-nmod
& 12-cc
Loan 12-conj
Association 5-appos
, 17-punct
is 0-ROOT
in 17-prep
receivership 18-pobj
and 17-cc
the 23-det
parent 23-compound
company 25-nsubj
has 25-aux
filed 17-conj
for 25-prep
protection 26-pobj
from 27-prep
creditor 30-compound
lawsuits 28-pobj
under 25-prep
Chapter 31-pobj
11 32-nummod
of 32-prep
the 38-det
federal 38-amod
Bankruptcy 38-compound
Code 34-pobj
. 25-punct

 39-dep

CENTRUST 3-compound
SAVINGS 3-compound
BANK 0-ROOT
-LRB- 6-punct
Miami 6-compound
-RRB- 3-appos
-- 6-punct

 7-dep

Moody 5-poss
's 1-case
Investors 5-compound
Service 5-compound
Inc. 6-nsubj
downgraded 0-ROOT
its 8-poss
ratings 6-dobj
on 8-prep
the 12-det
subordinated 12-amod
debt 9-pobj
of 12-prep
CenTrust 13-pobj
to 6-prep
Caa 15-pobj
from 6-prep
B-3 17-pobj
. 6-punct

 19-dep

The 3-det
rating 3-compound
agency 5-nsubj
also 5-advmod
reduced 0-ROOT
the 7-det
ratings 5-dobj
for 7-prep
long 11-amod
- 11-punct
term 12-compound
deposits 8-pobj
to 5-prep
B-3 13-pobj
from 5-prep
Ba-3 15-pobj
and 15-cc
for 15-conj
preferred 20-amod
stock 18-pobj
to 20-prep
Ca 21-pobj
from 20-prep
Caa 23-pobj
. 5-punct

 25-dep

The 3-det
rating 3-compound
agency 4-nsubj
said 0-ROOT
about 8-quantmod
$ 8-quantmod
85 8-compound
million 12-nsubjpass
in 8-prep
securities 9-pobj
was 12-auxpass
affected 4-ccomp
. 4-punct

 13-dep

The 2-det
downgrades 4-nsubjpass
were 4-auxpass
prompted 0-ROOT
, 8-punct
Moody 8-nsubj
's 6-case
said 4-parataxis
, 8-punct
by 4-agent
the 13-det
continuing 13-amod
turmoil 10-pobj
in 13-prep
the 18-det
junk 17-compound
bond 18-compound
market 14-pobj
and 13-cc
the 21-det
suspension 13-conj
of 21-prep
dividends 22-pobj
on 23-prep
CenTrust 28-poss
's 25-case
preferred 28-amod
stock 24-pobj
. 4-punct

 29-dep

Moody 4-nsubj
's 4-auxpass
also 4-advmod
said 0-ROOT
it 6-nsubj
believed 4-ccomp
the 9-det
proposed 9-amod
sale 23-nsubj
of 9-prep
63 13-nummod
CenTrust 13-compound
branches 10-pobj
to 9-prep
Great 17-compound
Western 17-compound
Bank 14-pobj
could 23-aux
, 23-punct
if 21-mark
completed 23-advcl
, 23-punct
endanger 6-ccomp
the 25-det
thrift 30-poss
's 25-case
funding 30-nmod
and 27-cc
market 27-conj
position 23-dobj
. 4-punct

 31-dep

THE 4-det
STOCK 3-compound
MARKET 4-compound
AVOIDED 6-nsubj
a 6-det
repeat 0-ROOT
of 6-prep
Black 9-compound
Monday 7-pobj
as 12-mark
prices 12-nsubj
recovered 6-advcl
from 12-prep
an 16-det
early 16-amod
slide 13-pobj
, 6-punct
spurred 6-acl
by 18-agent
bargain 22-npadvmod
- 22-punct
hunting 23-amod
institutions 19-pobj
and 23-cc
program 26-compound
traders 23-conj
. 6-punct

 27-dep

The 4-det
Dow 3-compound
Jones 4-compound
industrials 5-nsubj
closed 0-ROOT
up 5-advmod
88.12 8-nummod
points 6-npadvmod
, 5-punct
at 5-prep
2657.38 10-pobj
, 5-punct
the 17-det
fourth 16-advmod
- 16-punct
biggest 17-amod
gain 4-appos
ever 17-advmod
, 5-punct
after 5-prep
being 20-pcomp
down 21-advmod
as 26-advmod
much 26-amod
as 26-quantmod
63.52 27-nummod
points 21-npadvmod
in 21-prep
the 30-det
morning 28-pobj
. 5-punct

 31-dep

The 2-det
rally 3-nsubj
erased 0-ROOT
about 5-quantmod
half 3-dobj
of 5-prep
Friday 12-poss
's 7-case
190.58 11-nummod
- 11-punct
point 12-compound
plunge 6-pobj
, 3-punct
but 3-cc
analysts 16-nsubj
are 3-conj
cautious 16-acomp
about 17-prep
the 20-det
market 22-poss
's 20-case
outlook 18-pobj
. 16-punct

 23-dep

The 2-det
dollar 4-nsubj
also 4-advmod
rebounded 0-ROOT
, 4-punct
while 9-mark
bond 8-compound
prices 9-nsubj
plummeted 4-advcl
and 9-cc
Treasury 13-compound
bill 13-compound
rates 14-nsubj
soared 9-conj
. 4-punct

 15-dep

Junk 2-compound
bonds 4-nsubj
also 4-advmod
recovered 0-ROOT
somewhat 4-advmod
, 4-punct
though 9-mark
trading 9-nsubj
remained 4-advcl
stalled 9-acomp
. 4-punct

 11-dep

Gold 3-nsubj
also 3-advmod
rose 0-ROOT
. 3-punct

 4-dep

Tokyo 3-compound
stock 3-compound
prices 4-nsubj
bounced 0-ROOT
back 4-prt
in 4-prep
early 8-amod
trading 6-pobj
Tuesday 4-npadvmod
following 4-prep
a 14-det
1.8 13-nummod
% 14-compound
plunge 10-pobj
on 14-prep
Monday 15-pobj
. 4-punct

 17-dep

The 2-det
dollar 4-nsubj
also 4-advmod
moved 0-ROOT
higher 4-advmod
in 4-prep
Tokyo 6-pobj
. 4-punct

 8-dep

Donald 2-compound
Trump 3-nsubj
withdrew 0-ROOT
his 8-poss
$ 7-quantmod
7.54 7-compound
billion 8-nummod
offer 3-dobj
for 8-prep
American 11-compound
Air 9-pobj
, 3-punct
citing 3-advcl
the 18-det
` 18-punct
` 18-punct
recent 18-amod
change 13-dobj
in 18-prep
market 21-compound
conditions 19-pobj
. 3-punct

'' 4-punct

 1-dep
AMR 4-nsubj
slid 0-ROOT
$ 6-nmod
22.125 4-dobj
, 4-punct
to 4-prep
$ 10-nmod
76.50 8-pobj
. 4-punct

 11-dep

Also 6-advmod
, 6-punct
a 5-det
UAL 5-compound
group 6-nsubj
tried 0-ROOT
to 8-aux
get 6-xcomp
financing 8-dobj
for 9-prep
a 13-det
lower 13-amod
bid 10-pobj
, 6-punct
possibly 17-advmod
$ 17-quantmod
250 6-npadvmod
a 19-det
share 17-npadvmod
. 6-punct

 20-dep

UAL 2-nsubj
fell 0-ROOT
$ 4-nmod
56.875 2-npadvmod
, 2-punct
to 2-prep
$ 8-nmod
222.875 6-pobj
. 2-punct

 9-dep

Leveraged 4-amod
buy 4-compound
- 4-punct
outs 8-nsubj
of 4-prep
airlines 5-pobj
would 8-aux
be 0-ROOT
subject 8-acomp
to 9-prep
approval 10-pobj
by 11-prep
the 15-det
transportation 15-compound
secretary 12-pobj
under 8-prep
a 18-det
bill 16-pobj
passed 18-acl
by 19-agent
a 23-det
House 23-compound
subcommittee 20-pobj
. 8-punct

 24-dep

IBM 3-poss
's 1-case
earnings 4-nsubj
tumbled 0-ROOT
30 6-nummod
% 4-npadvmod
in 4-prep
the 10-det
third 10-amod
quarter 7-pobj
, 4-punct
slightly 13-advmod
more 4-advmod
than 15-mark
expected 13-advcl
. 4-punct

 16-dep

The 3-det
computer 3-compound
giant 5-nsubj
partly 5-advmod
cited 0-ROOT
a 8-det
stronger 8-amod
dollar 5-dobj
and 8-cc
a 11-det
delay 8-conj
in 11-prep
shipping 12-pcomp
a 20-det
new 20-amod
high 18-amod
- 18-punct
end 19-compound
disk 20-compound
drive 13-dobj
. 5-punct

 21-dep

Analysts 2-nsubj
are 0-ROOT
downbeat 2-acomp
about 3-prep
IBM 7-poss
's 5-case
outlook 4-pobj
for 7-prep
the 12-det
next 12-amod
few 12-amod
quarters 8-pobj
. 2-punct

 13-dep

U.S. 3-compound
auto 3-compound
makers 4-nsubj
plan 0-ROOT
to 6-aux
decrease 4-xcomp
car 8-compound
production 6-dobj
10.4 10-nummod
% 6-npadvmod
in 6-prep
the 14-det
fourth 14-amod
quarter 11-pobj
, 6-punct
with 6-prep
virtually 20-advmod
all 20-predet
the 20-det
decline 16-pobj
coming 20-acl
from 21-prep
the 25-det
Big 25-compound
Three 22-pobj
. 4-punct

 26-dep

Output 12-nsubj
at 1-prep
Japanese 5-npadvmod
- 5-punct
owned 8-amod
and 5-cc
managed 5-conj
plants 2-pobj
in 8-prep
the 11-det
U.S. 9-pobj
is 0-ROOT
due 12-acomp
to 15-aux
rise 13-xcomp
42 17-nummod
% 15-npadvmod
. 12-punct

 18-dep

Budget 2-compound
director 3-compound
Darman 4-nsubj
said 0-ROOT
he 8-nsubj
wo 8-aux
n't 8-neg
give 4-ccomp
federal 10-amod
agencies 8-dative
much 12-advmod
leeway 8-advmod
in 8-prep
coping 13-pcomp
with 14-prep
Gramm 18-compound
- 18-punct
Rudman 20-compound
spending 20-compound
cuts 15-pobj
, 20-punct
which 23-nsubj
took 20-relcl
effect 23-dobj
yesterday 23-npadvmod
. 4-punct

 26-dep

Darman 2-nsubj
hopes 0-ROOT
to 4-aux
prod 2-xcomp
Congress 4-dobj
to 7-aux
finish 4-xcomp
a 10-det
deficit 10-compound
plan 7-dobj
. 2-punct

 11-dep

The 4-det
S&L 3-compound
bailout 4-compound
agency 7-nsubjpass
would 7-aux
be 7-auxpass
restricted 0-ROOT
by 7-agent
a 11-det
new 11-amod
bill 8-pobj
in 11-prep
how 15-advmod
it 15-nsubj
raises 12-pcomp
capital 15-dobj
. 7-punct

 17-dep

The 5-det
Ways 5-nmod
and 2-cc
Means 2-conj
plan 7-nsubj
would 7-aux
create 0-ROOT
another 10-det
possible 10-amod
obstacle 7-dobj
to 10-prep
selling 11-pcomp
sick 14-amod
thrifts 12-dobj
. 7-punct

 15-dep

A 4-det
natural 3-amod
gas 4-compound
rule 6-nsubjpass
was 6-auxpass
struck 0-ROOT
down 6-prt
by 6-agent
a 12-det
federal 12-amod
appeals 12-compound
court 8-pobj
. 6-punct

 13-dep

The 2-det
regulation 4-nsubj
had 4-aux
prevented 0-ROOT
pipeline 6-compound
firms 4-dobj
from 4-prep
passing 7-pcomp
part 8-dobj
of 9-prep
$ 13-quantmod
1 13-compound
billion 10-pobj
in 13-prep
costs 14-pobj
along 8-prep
to 16-prep
customers 17-pobj
. 4-punct

 19-dep

The 3-det
Supreme 3-compound
Court 4-nsubj
agreed 0-ROOT
to 6-aux
decide 4-xcomp
whether 12-mark
a 10-det
federal 10-amod
court 12-nsubj
may 12-aux
dismantle 6-ccomp
a 14-det
merger 12-dobj
that 17-nsubj
has 17-aux
won 14-relcl
regulatory 19-amod
approval 17-dobj
but 12-cc
been 22-auxpass
ruled 12-conj
anticompetitive 22-oprd
in 22-prep
a 27-det
private 27-amod
suit 24-pobj
. 4-punct

 28-dep

Merrill 2-compound
Lynch 4-poss
's 2-case
profit 5-nsubj
slid 0-ROOT
37 7-nummod
% 5-npadvmod
in 5-prep
the 11-det
third 11-amod
quarter 8-pobj
. 5-punct

 12-dep

Bear 2-compound
Stearns 3-nsubj
posted 0-ROOT
a 7-det
7.5 6-nummod
% 7-compound
gain 3-dobj
, 3-punct
while 11-mark
PaineWebber 11-nsubj
had 3-advcl
a 13-det
decline 11-dobj
due 11-prep
to 14-pcomp
a 20-det
year 19-npadvmod
- 19-punct
ago 20-amod
gain 14-pobj
. 3-punct

 21-dep

Blue 2-compound
Arrow 5-nsubj
of 2-prep
Britain 3-pobj
plans 0-ROOT
to 7-aux
return 5-xcomp
to 7-prep
the 11-det
name 11-compound
Manpower 8-pobj
and 7-cc
take 7-conj
a 18-det
big 18-amod
write 18-compound
- 18-punct
off 13-dobj
. 5-punct

 19-dep

The 2-det
moves 4-nsubj
may 4-aux
help 0-ROOT
the 6-det
firm 7-nsubj
solidify 4-ccomp
its 9-poss
dominance 7-dobj
of 9-prep
the 16-det
U.S. 16-compound
temporary 15-amod
- 15-punct
help 16-compound
market 10-pobj
. 4-punct

 17-dep

J.P. 2-compound
Morgan 3-nsubj
posted 0-ROOT
a 8-det
$ 7-quantmod
1.82 7-compound
billion 8-nummod
loss 3-dobj
for 8-prep
the 12-det
third 12-amod
quarter 9-pobj
, 3-punct
reflecting 3-advcl
a 17-det
big 17-amod
addition 14-dobj
to 17-prep
loan 21-compound
- 21-punct
loss 22-compound
reserves 18-pobj
. 3-punct

 23-dep

NCNB 3-poss
's 1-case
profit 6-nsubj
more 6-advmod
than 4-advmod
doubled 0-ROOT
. 6-punct

 7-dep

K 2-compound
mart 3-nsubj
agreed 0-ROOT
to 5-aux
acquire 3-xcomp
Pace 8-compound
Membership 8-compound
Warehouse 5-dobj
for 5-prep
$ 12-quantmod
322 12-compound
million 9-pobj
, 5-punct
expanding 5-advcl
its 16-poss
presence 14-dobj
in 14-prep
the 23-det
growing 23-amod
wholesale 22-amod
- 22-punct
store 23-compound
business 17-pobj
. 3-punct

 24-dep

Markets 0-ROOT
-- 1-punct

 2-dep
Stocks 1-appos
: 1-punct
Volume 1-appos
416,290,000 8-nummod
shares 6-appos
. 1-punct

 9-dep

Dow 2-compound
Jones 3-compound
industrials 0-ROOT
2657.38 3-appos
, 3-punct
up 3-advmod
88.12 6-npadvmod
; 3-punct
transportation 3-appos
1304.23 9-appos
, 9-punct
off 9-advmod
102.06 12-npadvmod
; 9-punct
utilities 9-appos
214.73 15-appos
, 3-punct
up 3-advmod
2.77 18-npadvmod
. 3-punct

 20-dep

Bonds 0-ROOT
: 1-punct
Shearson 6-compound
Lehman 6-compound
Hutton 6-compound
Treasury 7-compound
index 1-appos
3393.51 7-appos
, 7-punct
off 7-prep

 10-dep
Commodities 10-pobj
: 7-punct
Dow 15-compound
Jones 17-compound
futures 17-compound
index 7-appos
129.72 17-appos
, 7-punct
off 7-advmod
0.15 20-npadvmod
; 7-punct
spot 24-compound
index 7-appos
130.16 24-appos
, 24-punct
up 24-advmod
0.91 27-npadvmod
. 1-punct

 29-dep

Dollar 0-ROOT
: 1-punct
141.85 4-nummod
yen 1-appos
, 4-punct
off 4-advmod
0.25 6-npadvmod
; 4-punct
1.8685 10-nummod
marks 4-appos
, 10-punct
off 10-advmod
0.0055 12-npadvmod
. 1-punct

 14-dep

Monday 17-nsubj
, 1-punct
October 1-appos
16 3-nummod
, 1-punct
1989 1-appos

 6-dep
The 15-det
key 15-amod
U.S. 15-nmod
and 10-cc
foreign 10-conj
annual 15-amod
interest 15-compound
rates 17-nsubj
below 15-advmod
are 0-ROOT
a 19-det
guide 17-attr
to 19-prep
general 22-amod
levels 20-pobj
but 17-cc
do 27-aux
n't 27-neg
always 27-advmod
represent 17-conj
actual 29-amod
transactions 27-dobj
. 17-punct

 30-dep

PRIME 2-amod
RATE 0-ROOT
: 2-punct
10 5-compound
1/2 6-nummod
% 2-appos
. 2-punct

 7-dep

The 3-det
base 3-compound
rate 0-ROOT
on 3-prep
corporate 6-amod
loans 4-pobj
at 3-prep
large 13-amod
U.S. 13-nmod
money 11-nmod
center 13-nmod
commercial 13-amod
banks 7-pobj
. 3-punct

 14-dep

FEDERAL 2-amod
FUNDS 0-ROOT
: 2-punct
8 5-compound
3/4 6-nummod
% 2-appos
high 6-amod
, 6-punct
8 10-compound
1/2 11-nummod
% 6-appos
low 11-amod
, 11-punct
8 15-compound
5/8 16-nummod
% 11-appos
near 16-prep
closing 19-compound
bid 17-pobj
, 6-punct
8 22-compound
3/4 23-nummod
% 6-appos
offered 23-acl
. 2-punct

 25-dep

Reserves 2-nsubj
traded 0-ROOT
among 2-prep
commercial 5-amod
banks 3-pobj
for 2-prep
overnight 8-amod
use 6-pobj
in 2-prep
amounts 9-pobj
of 10-prep
$ 14-quantmod
1 14-compound
million 11-pobj
or 16-cc
more 14-nummod
. 2-punct

 17-dep

Source 0-ROOT
: 1-punct
Fulton 1-appos
Prebon 3-punct
-LRB- 4-punct

U.S.A 0-ROOT
. 1-punct

-RRB- 0-ROOT

Inc 0-ROOT
. 1-punct

 2-dep

DISCOUNT 2-compound
RATE 0-ROOT
: 2-punct
7 5-nummod
% 2-appos
. 2-punct

 6-dep

The 2-det
charge 0-ROOT
on 2-prep
loans 3-pobj
to 4-prep
depository 7-compound
institutions 5-pobj
by 4-prep
the 14-det
New 11-compound
York 14-compound
Federal 14-compound
Reserve 14-compound
Bank 8-pobj
. 2-punct

 15-dep

CALL 2-compound
MONEY 0-ROOT
: 2-punct
9 5-compound
3/4 6-nummod
% 8-quantmod
to 8-quantmod
10 9-nummod
% 2-appos
. 2-punct

 10-dep

The 2-det
charge 0-ROOT
on 2-prep
loans 3-pobj
to 4-prep
brokers 5-pobj
on 4-prep
stock 9-compound
exchange 10-compound
collateral 7-pobj
. 2-punct

 11-dep

COMMERCIAL 2-compound
PAPER 0-ROOT
placed 2-acl
directly 3-advmod
by 3-agent
General 9-compound
Motors 9-compound
Acceptance 9-compound
Corp. 5-pobj
: 2-punct
8.30 12-nummod
% 2-appos
5 15-quantmod
to 15-quantmod
44 16-nummod
days 12-appos
; 12-punct
8.20 19-nummod
% 12-appos
45 22-quantmod
to 22-quantmod
59 23-nummod
days 19-appos
; 12-punct
8 26-nummod
% 12-appos
60 29-quantmod
to 29-quantmod
89 30-nummod
days 26-appos
; 12-punct
7.875 33-nummod
% 12-appos
90 36-quantmod
to 36-quantmod
119 37-nummod
days 33-appos
; 12-punct
7.75 40-nummod
% 12-appos
120 43-quantmod
to 43-quantmod
149 44-nummod
days 40-appos
; 12-punct
7.625 47-nummod
% 12-appos
150 50-quantmod
to 50-quantmod
179 51-nummod
days 47-appos
; 12-punct
7.375 54-nummod
% 12-appos
180 57-quantmod
to 57-quantmod
270 58-nummod
days 54-appos
. 2-punct

 59-dep

COMMERCIAL 2-amod
PAPER 37-compound
: 2-punct
High 6-amod
- 6-punct
grade 8-nmod
unsecured 8-amod
notes 2-appos
sold 8-acl
through 9-prep
dealers 10-pobj
by 9-agent
major 14-amod
corporations 12-pobj
in 9-prep
multiples 15-pobj
of 16-prep
$ 19-nmod
1,000 17-pobj
: 2-punct
8.40 22-nummod
% 2-appos
30 24-nummod
days 22-appos
; 22-punct
8.33 27-nummod
% 22-appos
60 29-nummod
days 27-appos
; 22-punct
8.26 32-nummod
% 22-appos
90 34-nummod
days 32-appos
. 2-punct

 35-dep
CERTIFICATES 0-ROOT
OF 37-prep
DEPOSIT 38-pobj
: 37-punct
8.05 42-nummod
% 37-appos
one 44-nummod
month 42-appos
; 42-punct
8.02 47-nummod
% 42-appos
two 49-nummod
months 47-appos
; 42-punct
8 52-nummod
% 42-appos
three 54-nummod
months 52-appos
; 42-punct
7.98 57-nummod
% 42-appos
six 59-nummod
months 57-appos
; 42-punct
7.95 62-nummod
% 42-appos
one 64-nummod
year 62-appos
. 37-punct

 65-dep

Average 0-ROOT
of 1-prep
top 4-amod
rates 2-pobj
paid 4-acl
by 5-agent
major 10-amod
New 9-compound
York 10-compound
banks 6-pobj
on 5-prep
primary 14-amod
new 14-amod
issues 11-pobj
of 14-prep
negotiable 17-amod
C.D.s 15-pobj
, 5-punct
usually 20-advmod
on 5-prep
amounts 20-pobj
of 21-prep
$ 25-quantmod
1 25-compound
million 22-pobj
and 27-cc
more 25-conj
. 1-punct

 28-dep

The 3-det
minimum 3-amod
unit 4-nsubj
is 0-ROOT
$ 6-nmod
100,000 4-attr
. 4-punct

 7-dep

Typical 2-amod
rates 0-ROOT
in 2-prep
the 6-det
secondary 6-amod
market 3-pobj
: 2-punct
8.40 9-nummod
% 2-appos
one 11-nummod
month 9-appos
; 9-punct
8.40 14-nummod
% 9-appos
three 16-nummod
months 14-appos
; 9-punct
8.40 19-nummod
% 9-appos
six 21-nummod
months 19-appos
. 2-punct

 22-dep

BANKERS 2-compound
ACCEPTANCES 0-ROOT
: 2-punct
8.40 5-nummod
% 2-appos
30 7-nummod
days 5-appos
; 5-punct
8.35 10-nummod
% 5-appos
60 12-nummod
days 10-appos
; 5-punct
8.27 15-nummod
% 5-appos
90 17-nummod
days 15-appos
; 5-punct
8.20 20-nummod
% 5-appos
120 22-nummod
days 20-appos
; 5-punct
8.15 25-nummod
% 5-appos
150 27-nummod
days 25-appos
; 5-punct
8.02 30-nummod
% 5-appos
180 32-nummod
days 30-appos
. 2-punct

 33-dep

Negotiable 8-amod
, 8-punct
bank 5-npadvmod
- 5-punct
backed 8-amod
business 8-compound
credit 8-compound
instruments 0-ROOT
typically 10-advmod
financing 8-acl
an 13-det
import 13-compound
order 10-dobj
. 8-punct

 14-dep

LONDON 3-nmod
LATE 3-amod
EURODOLLARS 0-ROOT
: 3-punct
8 6-compound
5/8 10-quantmod
% 10-quantmod
to 10-quantmod
8 10-compound
1/2 11-nummod
% 3-appos
one 13-nummod
month 11-appos
; 11-punct
8 16-compound
5/8 20-quantmod
% 20-quantmod
to 20-quantmod
8 20-compound
1/2 21-nummod
% 11-appos
two 23-nummod
months 21-appos
; 11-punct
8 26-compound
9/16 30-quantmod
% 30-quantmod
to 30-quantmod
8 30-compound
7/16 31-nummod
% 11-appos
three 33-nummod
months 31-appos
; 11-punct
8 36-compound
1/2 40-nummod
% 40-quantmod
to 40-quantmod
8 40-compound
3/8 41-nummod
% 11-appos
four 43-nummod
months 41-appos
; 11-punct
8 46-compound
1/2 50-nummod
% 50-quantmod
to 50-quantmod
8 50-compound
3/8 51-nummod
% 11-appos
five 53-nummod
months 51-appos
; 11-punct
8 56-compound
1/2 60-nummod
% 60-quantmod
